ID,Block,Category,Subcategory,Status
47,"Legal, Finance & Security",Civil Litigation,Consultations,ACTIVE
48,"Legal, Finance & Security",Civil Litigation,Document Preparation,ACTIVE
49,"Legal, Finance & Security",Civil Litigation,Legal or Financial Analysis,ACTIVE
50,"Legal, Finance & Security",Civil Litigation,Registration & Filing,ACTIVE
51,"Legal, Finance & Security",Civil Litigation,Representation,ACTIVE
52,"Legal, Finance & Security",Civil Litigation,Pre-Litigation Support,ACTIVE
53,"Legal, Finance & Security",Civil Litigation,Court or Administrative Representation,ACTIVE
54,"Legal, Finance & Security",Civil Litigation,Audit & Review,ACTIVE
55,"Legal, Finance & Security",Civil Litigation,Transaction Support,ACTIVE
56,"Legal, Finance & Security",Civil Litigation,Ongoing Business Support,ACTIVE
57,"Legal, Finance & Security",Corporate & Commercial Law,Consultations,ACTIVE
58,"Legal, Finance & Security",Corporate & Commercial Law,Document Preparation,ACTIVE
59,"Legal, Finance & Security",Corporate & Commercial Law,Legal or Financial Analysis,ACTIVE
60,"Legal, Finance & Security",Corporate & Commercial Law,Registration & Filing,ACTIVE
61,"Legal, Finance & Security",Corporate & Commercial Law,Representation,ACTIVE
62,"Legal, Finance & Security",Corporate & Commercial Law,Pre-Litigation Support,ACTIVE
63,"Legal, Finance & Security",Corporate & Commercial Law,Court or Administrative Representation,ACTIVE
64,"Legal, Finance & Security",Corporate & Commercial Law,Audit & Review,ACTIVE
65,"Legal, Finance & Security",Corporate & Commercial Law,Transaction Support,ACTIVE
66,"Legal, Finance & Security",Corporate & Commercial Law,Ongoing Business Support,ACTIVE
67,"Legal, Finance & Security",Tax Law,Consultations,ACTIVE
68,"Legal, Finance & Security",Tax Law,Document Preparation,ACTIVE
69,"Legal, Finance & Security",Tax Law,Legal or Financial Analysis,ACTIVE
70,"Legal, Finance & Security",Tax Law,Registration & Filing,ACTIVE
71,"Legal, Finance & Security",Tax Law,Representation,ACTIVE
72,"Legal, Finance & Security",Tax Law,Pre-Litigation Support,ACTIVE
73,"Legal, Finance & Security",Tax Law,Court or Administrative Representation,ACTIVE
74,"Legal, Finance & Security",Tax Law,Audit & Review,ACTIVE
75,"Legal, Finance & Security",Tax Law,Transaction Support,ACTIVE
76,"Legal, Finance & Security",Tax Law,Ongoing Business Support,ACTIVE
77,"Legal, Finance & Security",Employment Law,Consultations,ACTIVE
78,"Legal, Finance & Security",Employment Law,Document Preparation,ACTIVE
79,"Legal, Finance & Security",Employment Law,Legal or Financial Analysis,ACTIVE
80,"Legal, Finance & Security",Employment Law,Registration & Filing,ACTIVE
81,"Legal, Finance & Security",Employment Law,Representation,ACTIVE
82,"Legal, Finance & Security",Employment Law,Pre-Litigation Support,ACTIVE
83,"Legal, Finance & Security",Employment Law,Court or Administrative Representation,ACTIVE
84,"Legal, Finance & Security",Employment Law,Audit & Review,ACTIVE
85,"Legal, Finance & Security",Employment Law,Transaction Support,ACTIVE
86,"Legal, Finance & Security",Employment Law,Ongoing Business Support,ACTIVE
87,"Legal, Finance & Security",Real Estate & Land Law,Consultations,ACTIVE
88,"Legal, Finance & Security",Real Estate & Land Law,Document Preparation,ACTIVE
89,"Legal, Finance & Security",Real Estate & Land Law,Legal or Financial Analysis,ACTIVE
90,"Legal, Finance & Security",Real Estate & Land Law,Registration & Filing,ACTIVE
91,"Legal, Finance & Security",Real Estate & Land Law,Representation,ACTIVE
92,"Legal, Finance & Security",Real Estate & Land Law,Pre-Litigation Support,ACTIVE
93,"Legal, Finance & Security",Real Estate & Land Law,Court or Administrative Representation,ACTIVE
94,"Legal, Finance & Security",Real Estate & Land Law,Audit & Review,ACTIVE
95,"Legal, Finance & Security",Real Estate & Land Law,Transaction Support,ACTIVE
96,"Legal, Finance & Security",Real Estate & Land Law,Ongoing Business Support,ACTIVE
97,"Legal, Finance & Security",International Law,Consultations,ACTIVE
98,"Legal, Finance & Security",International Law,Document Preparation,ACTIVE
99,"Legal, Finance & Security",International Law,Legal or Financial Analysis,ACTIVE
100,"Legal, Finance & Security",International Law,Registration & Filing,ACTIVE
101,"Legal, Finance & Security",International Law,Representation,ACTIVE
102,"Legal, Finance & Security",International Law,Pre-Litigation Support,ACTIVE
103,"Legal, Finance & Security",International Law,Court or Administrative Representation,ACTIVE
104,"Legal, Finance & Security",International Law,Audit & Review,ACTIVE
105,"Legal, Finance & Security",International Law,Transaction Support,ACTIVE
106,"Legal, Finance & Security",International Law,Ongoing Business Support,ACTIVE
107,"Legal, Finance & Security",Intellectual Property,Consultations,ACTIVE
108,"Legal, Finance & Security",Intellectual Property,Document Preparation,ACTIVE
109,"Legal, Finance & Security",Intellectual Property,Legal or Financial Analysis,ACTIVE
110,"Legal, Finance & Security",Intellectual Property,Registration & Filing,ACTIVE
111,"Legal, Finance & Security",Intellectual Property,Representation,ACTIVE
112,"Legal, Finance & Security",Intellectual Property,Pre-Litigation Support,ACTIVE
113,"Legal, Finance & Security",Intellectual Property,Court or Administrative Representation,ACTIVE
114,"Legal, Finance & Security",Intellectual Property,Audit & Review,ACTIVE
115,"Legal, Finance & Security",Intellectual Property,Transaction Support,ACTIVE
116,"Legal, Finance & Security",Intellectual Property,Ongoing Business Support,ACTIVE
117,"Legal, Finance & Security",Notary Services,Signature Certification,ACTIVE
118,"Legal, Finance & Security",Notary Services,Certified Copies,ACTIVE
119,"Legal, Finance & Security",Notary Services,Powers of Attorney,ACTIVE
120,"Legal, Finance & Security",Notary Services,Inheritance Matters,ACTIVE
121,"Legal, Finance & Security",Notary Services,Prenuptial Agreements,ACTIVE
122,"Legal, Finance & Security",Notary Services,Real Estate Transactions,ACTIVE
123,"Legal, Finance & Security",Notary Services,Apostille & Legalization,ACTIVE
124,"Legal, Finance & Security",Notary Services,Notarized Translations,ACTIVE
125,"Legal, Finance & Security",Notary Services,Consultations,ACTIVE
126,"Legal, Finance & Security",Notary Services,Document Preparation,ACTIVE
127,"Legal, Finance & Security",Notary Services,Legal or Financial Analysis,ACTIVE
128,"Legal, Finance & Security",Notary Services,Registration & Filing,ACTIVE
129,"Legal, Finance & Security",Notary Services,Representation,ACTIVE
130,"Legal, Finance & Security",Notary Services,Pre-Litigation Support,ACTIVE
131,"Legal, Finance & Security",Accounting Services,Bookkeeping,ACTIVE
132,"Legal, Finance & Security",Accounting Services,Payroll Services,ACTIVE
133,"Legal, Finance & Security",Accounting Services,Tax Reporting,ACTIVE
134,"Legal, Finance & Security",Accounting Services,Management Accounting,ACTIVE
135,"Legal, Finance & Security",Accounting Services,Accounting Reconstruction,ACTIVE
136,"Legal, Finance & Security",Accounting Services,Small Business Bookkeeping,ACTIVE
137,"Legal, Finance & Security",Accounting Services,QuickBooks / Xero Support,ACTIVE
138,"Legal, Finance & Security",Accounting Services,International Accounting,ACTIVE
139,"Legal, Finance & Security",Accounting Services,Consultations,ACTIVE
140,"Legal, Finance & Security",Accounting Services,Document Preparation,ACTIVE
141,"Legal, Finance & Security",Accounting Services,Legal or Financial Analysis,ACTIVE
142,"Legal, Finance & Security",Accounting Services,Registration & Filing,ACTIVE
143,"Legal, Finance & Security",Accounting Services,Representation,ACTIVE
144,"Legal, Finance & Security",Accounting Services,Pre-Litigation Support,ACTIVE
145,"Legal, Finance & Security",Audit & Financial Control,Consultations,ACTIVE
146,"Legal, Finance & Security",Audit & Financial Control,Document Preparation,ACTIVE
147,"Legal, Finance & Security",Audit & Financial Control,Legal or Financial Analysis,ACTIVE
148,"Legal, Finance & Security",Audit & Financial Control,Registration & Filing,ACTIVE
149,"Legal, Finance & Security",Audit & Financial Control,Representation,ACTIVE
150,"Legal, Finance & Security",Audit & Financial Control,Pre-Litigation Support,ACTIVE
151,"Legal, Finance & Security",Audit & Financial Control,Court or Administrative Representation,ACTIVE
152,"Legal, Finance & Security",Audit & Financial Control,Audit & Review,ACTIVE
153,"Legal, Finance & Security",Audit & Financial Control,Transaction Support,ACTIVE
154,"Legal, Finance & Security",Audit & Financial Control,Ongoing Business Support,ACTIVE
155,"Legal, Finance & Security",Insurance,Health Insurance,ACTIVE
156,"Legal, Finance & Security",Insurance,Auto Insurance,ACTIVE
157,"Legal, Finance & Security",Insurance,Property Insurance,ACTIVE
158,"Legal, Finance & Security",Insurance,Life Insurance,ACTIVE
159,"Legal, Finance & Security",Insurance,Travel Insurance,ACTIVE
160,"Legal, Finance & Security",Insurance,Business Insurance,ACTIVE
161,"Legal, Finance & Security",Insurance,Liability Insurance,ACTIVE
162,"Legal, Finance & Security",Insurance,Cargo Insurance,ACTIVE
163,"Legal, Finance & Security",Insurance,Consultations,ACTIVE
164,"Legal, Finance & Security",Insurance,Document Preparation,ACTIVE
165,"Healthcare, Health & Care",Multispecialty Clinics,Initial Consultation,ACTIVE
166,"Healthcare, Health & Care",Multispecialty Clinics,Preventive Checkup,ACTIVE
167,"Healthcare, Health & Care",Multispecialty Clinics,Diagnostics,ACTIVE
168,"Healthcare, Health & Care",Multispecialty Clinics,Outpatient Treatment,ACTIVE
169,"Healthcare, Health & Care",Multispecialty Clinics,Procedures & Treatments,ACTIVE
170,"Healthcare, Health & Care",Multispecialty Clinics,Second Medical Opinion,ACTIVE
171,"Healthcare, Health & Care",Multispecialty Clinics,Telemedicine,ACTIVE
172,"Healthcare, Health & Care",Multispecialty Clinics,Children's Programs,ACTIVE
173,"Healthcare, Health & Care",Multispecialty Clinics,Corporate Health Programs,ACTIVE
174,"Healthcare, Health & Care",Multispecialty Clinics,Rehabilitation,ACTIVE
175,"Healthcare, Health & Care",Multispecialty Clinics,Urgent Care,ACTIVE
176,"Healthcare, Health & Care",Family Medicine & Primary Care,Initial Consultation,ACTIVE
177,"Healthcare, Health & Care",Family Medicine & Primary Care,Preventive Checkup,ACTIVE
178,"Healthcare, Health & Care",Family Medicine & Primary Care,Diagnostics,ACTIVE
179,"Healthcare, Health & Care",Family Medicine & Primary Care,Outpatient Treatment,ACTIVE
180,"Healthcare, Health & Care",Family Medicine & Primary Care,Procedures & Treatments,ACTIVE
181,"Healthcare, Health & Care",Family Medicine & Primary Care,Second Medical Opinion,ACTIVE
182,"Healthcare, Health & Care",Family Medicine & Primary Care,Telemedicine,ACTIVE
183,"Healthcare, Health & Care",Family Medicine & Primary Care,Children's Programs,ACTIVE
184,"Healthcare, Health & Care",Family Medicine & Primary Care,Corporate Health Programs,ACTIVE
185,"Healthcare, Health & Care",Family Medicine & Primary Care,Rehabilitation,ACTIVE
186,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Walk-in clinic,ACTIVE
187,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Adult Urgent Care,ACTIVE
188,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Pediatric Urgent Care,ACTIVE
189,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Non-Hospital Injury Treatment,ACTIVE
190,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Treatment of Infections & Colds,ACTIVE
191,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Stitching & Wound Closure,ACTIVE
192,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Urgent Care X-Ray,ACTIVE
193,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Rapid Testing,ACTIVE
194,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Vaccination,ACTIVE
195,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Medical Certificates,ACTIVE
196,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Occupational health,ACTIVE
197,"Healthcare, Health & Care",Urgent Care & Walk-In Services,Urgent Telemedicine Consultation,ACTIVE
198,"Healthcare, Health & Care",Dentistry,General Dentistry,ACTIVE
199,"Healthcare, Health & Care",Dentistry,Professional Dental Cleaning,ACTIVE
200,"Healthcare, Health & Care",Dentistry,Cavity Treatment,ACTIVE
201,"Healthcare, Health & Care",Dentistry,Endodontics,ACTIVE
202,"Healthcare, Health & Care",Dentistry,Orthodontics,ACTIVE
203,"Healthcare, Health & Care",Dentistry,Dental Implants,ACTIVE
204,"Healthcare, Health & Care",Dentistry,Prosthodontics,ACTIVE
205,"Healthcare, Health & Care",Dentistry,Oral Surgery,ACTIVE
206,"Healthcare, Health & Care",Dentistry,Periodontics,ACTIVE
207,"Healthcare, Health & Care",Dentistry,Pediatric Dentistry,ACTIVE
208,"Healthcare, Health & Care",Dentistry,Cosmetic Dentistry,ACTIVE
209,"Healthcare, Health & Care",Dentistry,Teeth Whitening,ACTIVE
210,"Healthcare, Health & Care",Dentistry,Emergency Dentistry,ACTIVE
211,"Healthcare, Health & Care",Dentistry,Dental X-Ray & 3D Imaging,ACTIVE
212,"Healthcare, Health & Care",Dentistry,Sedation & General Anesthesia Dentistry,ACTIVE
213,"Healthcare, Health & Care",Diagnostic Imaging,Initial Consultation,ACTIVE
214,"Healthcare, Health & Care",Diagnostic Imaging,Preventive Checkup,ACTIVE
215,"Healthcare, Health & Care",Diagnostic Imaging,Diagnostics,ACTIVE
216,"Healthcare, Health & Care",Diagnostic Imaging,Outpatient Treatment,ACTIVE
217,"Healthcare, Health & Care",Diagnostic Imaging,Procedures & Treatments,ACTIVE
218,"Healthcare, Health & Care",Diagnostic Imaging,Second Medical Opinion,ACTIVE
219,"Healthcare, Health & Care",Diagnostic Imaging,Telemedicine,ACTIVE
220,"Healthcare, Health & Care",Diagnostic Imaging,Children's Programs,ACTIVE
221,"Healthcare, Health & Care",Diagnostic Imaging,Corporate Health Programs,ACTIVE
222,"Healthcare, Health & Care",Diagnostic Imaging,Rehabilitation,ACTIVE
223,"Healthcare, Health & Care",Medical Laboratories,Initial Consultation,ACTIVE
224,"Healthcare, Health & Care",Medical Laboratories,Preventive Checkup,ACTIVE
225,"Healthcare, Health & Care",Medical Laboratories,Diagnostics,ACTIVE
226,"Healthcare, Health & Care",Medical Laboratories,Outpatient Treatment,ACTIVE
227,"Healthcare, Health & Care",Medical Laboratories,Procedures & Treatments,ACTIVE
228,"Healthcare, Health & Care",Medical Laboratories,Second Medical Opinion,ACTIVE
229,"Healthcare, Health & Care",Medical Laboratories,Telemedicine,ACTIVE
230,"Healthcare, Health & Care",Medical Laboratories,Children's Programs,ACTIVE
231,"Healthcare, Health & Care",Medical Laboratories,Corporate Health Programs,ACTIVE
232,"Healthcare, Health & Care",Medical Laboratories,Rehabilitation,ACTIVE
233,"Healthcare, Health & Care",Pediatrics,Initial Consultation,ACTIVE
234,"Healthcare, Health & Care",Pediatrics,Preventive Checkup,ACTIVE
235,"Healthcare, Health & Care",Pediatrics,Diagnostics,ACTIVE
236,"Healthcare, Health & Care",Pediatrics,Outpatient Treatment,ACTIVE
237,"Healthcare, Health & Care",Pediatrics,Procedures & Treatments,ACTIVE
238,"Healthcare, Health & Care",Pediatrics,Second Medical Opinion,ACTIVE
239,"Healthcare, Health & Care",Pediatrics,Telemedicine,ACTIVE
240,"Healthcare, Health & Care",Pediatrics,Children's Programs,ACTIVE
241,"Healthcare, Health & Care",Pediatrics,Corporate Health Programs,ACTIVE
242,"Healthcare, Health & Care",Pediatrics,Rehabilitation,ACTIVE
243,"Healthcare, Health & Care",Gynecology & Reproductive Health,Initial Consultation,ACTIVE
244,"Healthcare, Health & Care",Gynecology & Reproductive Health,Preventive Checkup,ACTIVE
245,"Healthcare, Health & Care",Gynecology & Reproductive Health,Diagnostics,ACTIVE
246,"Healthcare, Health & Care",Gynecology & Reproductive Health,Outpatient Treatment,ACTIVE
247,"Healthcare, Health & Care",Gynecology & Reproductive Health,Procedures & Treatments,ACTIVE
248,"Healthcare, Health & Care",Gynecology & Reproductive Health,Second Medical Opinion,ACTIVE
249,"Healthcare, Health & Care",Gynecology & Reproductive Health,Telemedicine,ACTIVE
250,"Healthcare, Health & Care",Gynecology & Reproductive Health,Children's Programs,ACTIVE
251,"Healthcare, Health & Care",Gynecology & Reproductive Health,Corporate Health Programs,ACTIVE
252,"Healthcare, Health & Care",Gynecology & Reproductive Health,Rehabilitation,ACTIVE
253,"Healthcare, Health & Care",Urology & Men's Health,Initial Consultation,ACTIVE
254,"Healthcare, Health & Care",Urology & Men's Health,Preventive Checkup,ACTIVE
255,"Healthcare, Health & Care",Urology & Men's Health,Diagnostics,ACTIVE
256,"Healthcare, Health & Care",Urology & Men's Health,Outpatient Treatment,ACTIVE
257,"Healthcare, Health & Care",Urology & Men's Health,Procedures & Treatments,ACTIVE
258,"Healthcare, Health & Care",Urology & Men's Health,Second Medical Opinion,ACTIVE
259,"Healthcare, Health & Care",Urology & Men's Health,Telemedicine,ACTIVE
260,"Healthcare, Health & Care",Urology & Men's Health,Children's Programs,ACTIVE
261,"Healthcare, Health & Care",Urology & Men's Health,Corporate Health Programs,ACTIVE
262,"Healthcare, Health & Care",Urology & Men's Health,Rehabilitation,ACTIVE
263,"Healthcare, Health & Care",Cardiology,Initial Consultation,ACTIVE
264,"Healthcare, Health & Care",Cardiology,Preventive Checkup,ACTIVE
265,"Healthcare, Health & Care",Cardiology,Diagnostics,ACTIVE
266,"Healthcare, Health & Care",Cardiology,Outpatient Treatment,ACTIVE
267,"Healthcare, Health & Care",Cardiology,Procedures & Treatments,ACTIVE
268,"Healthcare, Health & Care",Cardiology,Second Medical Opinion,ACTIVE
269,"Healthcare, Health & Care",Cardiology,Telemedicine,ACTIVE
270,"Healthcare, Health & Care",Cardiology,Children's Programs,ACTIVE
271,"Healthcare, Health & Care",Cardiology,Corporate Health Programs,ACTIVE
272,"Healthcare, Health & Care",Cardiology,Rehabilitation,ACTIVE
273,"Healthcare, Health & Care",Neurology,Initial Consultation,ACTIVE
274,"Healthcare, Health & Care",Neurology,Preventive Checkup,ACTIVE
275,"Healthcare, Health & Care",Neurology,Diagnostics,ACTIVE
276,"Healthcare, Health & Care",Neurology,Outpatient Treatment,ACTIVE
277,"Healthcare, Health & Care",Neurology,Procedures & Treatments,ACTIVE
278,"Healthcare, Health & Care",Neurology,Second Medical Opinion,ACTIVE
279,"Healthcare, Health & Care",Neurology,Telemedicine,ACTIVE
280,"Healthcare, Health & Care",Neurology,Children's Programs,ACTIVE
281,"Healthcare, Health & Care",Neurology,Corporate Health Programs,ACTIVE
282,"Healthcare, Health & Care",Neurology,Rehabilitation,ACTIVE
283,"Healthcare, Health & Care",Ophthalmology & Optical Services,Eye Exam,ACTIVE
284,"Healthcare, Health & Care",Ophthalmology & Optical Services,Eyeglass Fitting,ACTIVE
285,"Healthcare, Health & Care",Ophthalmology & Optical Services,Contact Lens Fitting,ACTIVE
286,"Healthcare, Health & Care",Ophthalmology & Optical Services,Pediatric Ophthalmology,ACTIVE
287,"Healthcare, Health & Care",Ophthalmology & Optical Services,Eye Disease Treatment,ACTIVE
288,"Healthcare, Health & Care",Ophthalmology & Optical Services,Eye Surgery,ACTIVE
289,"Healthcare, Health & Care",Ophthalmology & Optical Services,Laser Vision Correction,ACTIVE
290,"Healthcare, Health & Care",Ophthalmology & Optical Services,Optical Store & Lens Sales,ACTIVE
291,"Healthcare, Health & Care",Ophthalmology & Optical Services,Initial Consultation,ACTIVE
292,"Healthcare, Health & Care",Ophthalmology & Optical Services,Preventive Checkup,ACTIVE
293,"Healthcare, Health & Care",Orthopedics & Trauma Care,Initial Consultation,ACTIVE
294,"Healthcare, Health & Care",Orthopedics & Trauma Care,Preventive Checkup,ACTIVE
295,"Healthcare, Health & Care",Orthopedics & Trauma Care,Diagnostics,ACTIVE
296,"Healthcare, Health & Care",Orthopedics & Trauma Care,Outpatient Treatment,ACTIVE
297,"Healthcare, Health & Care",Orthopedics & Trauma Care,Procedures & Treatments,ACTIVE
298,"Healthcare, Health & Care",Orthopedics & Trauma Care,Second Medical Opinion,ACTIVE
299,"Healthcare, Health & Care",Orthopedics & Trauma Care,Telemedicine,ACTIVE
300,"Healthcare, Health & Care",Orthopedics & Trauma Care,Children's Programs,ACTIVE
301,"Healthcare, Health & Care",Orthopedics & Trauma Care,Corporate Health Programs,ACTIVE
302,"Healthcare, Health & Care",Orthopedics & Trauma Care,Rehabilitation,ACTIVE
303,"Healthcare, Health & Care",Dermatology,Initial Consultation,ACTIVE
304,"Healthcare, Health & Care",Dermatology,Preventive Checkup,ACTIVE
305,"Healthcare, Health & Care",Dermatology,Diagnostics,ACTIVE
306,"Healthcare, Health & Care",Dermatology,Outpatient Treatment,ACTIVE
307,"Healthcare, Health & Care",Dermatology,Procedures & Treatments,ACTIVE
308,"Healthcare, Health & Care",Dermatology,Second Medical Opinion,ACTIVE
309,"Healthcare, Health & Care",Dermatology,Telemedicine,ACTIVE
310,"Healthcare, Health & Care",Dermatology,Children's Programs,ACTIVE
311,"Healthcare, Health & Care",Dermatology,Corporate Health Programs,ACTIVE
312,"Healthcare, Health & Care",Dermatology,Rehabilitation,ACTIVE
313,"Healthcare, Health & Care",Mental Health & Psychotherapy,Individual Psychotherapy,ACTIVE
314,"Healthcare, Health & Care",Mental Health & Psychotherapy,Family Therapy,ACTIVE
315,"Healthcare, Health & Care",Mental Health & Psychotherapy,Couples Therapy,ACTIVE
316,"Healthcare, Health & Care",Mental Health & Psychotherapy,Child Psychologist,ACTIVE
317,"Healthcare, Health & Care",Mental Health & Psychotherapy,Adolescent Psychotherapy,ACTIVE
318,"Healthcare, Health & Care",Mental Health & Psychotherapy,Psychiatric Consultation,ACTIVE
319,"Healthcare, Health & Care",Mental Health & Psychotherapy,Anxiety Treatment,ACTIVE
320,"Healthcare, Health & Care",Mental Health & Psychotherapy,Depression Treatment,ACTIVE
321,"Healthcare, Health & Care",Mental Health & Psychotherapy,Trauma & PTSD,ACTIVE
322,"Healthcare, Health & Care",Mental Health & Psychotherapy,Addiction Treatment,ACTIVE
323,"Healthcare, Health & Care",Mental Health & Psychotherapy,Crisis Mental Health Support,ACTIVE
324,"Healthcare, Health & Care",Mental Health & Psychotherapy,Online Psychotherapy,ACTIVE
325,"Healthcare, Health & Care",Mental Health & Psychotherapy,Corporate Mental Health Programs,ACTIVE
326,"Beauty, Fitness & Recovery",Beauty Salons,Individual Service,ACTIVE
327,"Beauty, Fitness & Recovery",Beauty Salons,Comprehensive Program,ACTIVE
328,"Beauty, Fitness & Recovery",Beauty Salons,Express Service,ACTIVE
329,"Beauty, Fitness & Recovery",Beauty Salons,Personal Support,ACTIVE
330,"Beauty, Fitness & Recovery",Beauty Salons,Group Classes,ACTIVE
331,"Beauty, Fitness & Recovery",Beauty Salons,Services for Men,ACTIVE
332,"Beauty, Fitness & Recovery",Beauty Salons,Services for Women,ACTIVE
333,"Beauty, Fitness & Recovery",Beauty Salons,Children's Programs,ACTIVE
334,"Beauty, Fitness & Recovery",Beauty Salons,On-Site Service,ACTIVE
335,"Beauty, Fitness & Recovery",Beauty Salons,Online Format,ACTIVE
336,"Beauty, Fitness & Recovery",Hair Salons,Individual Service,ACTIVE
337,"Beauty, Fitness & Recovery",Hair Salons,Comprehensive Program,ACTIVE
338,"Beauty, Fitness & Recovery",Hair Salons,Express Service,ACTIVE
339,"Beauty, Fitness & Recovery",Hair Salons,Personal Support,ACTIVE
340,"Beauty, Fitness & Recovery",Hair Salons,Group Classes,ACTIVE
341,"Beauty, Fitness & Recovery",Hair Salons,Services for Men,ACTIVE
342,"Beauty, Fitness & Recovery",Hair Salons,Services for Women,ACTIVE
343,"Beauty, Fitness & Recovery",Hair Salons,Children's Programs,ACTIVE
344,"Beauty, Fitness & Recovery",Hair Salons,On-Site Service,ACTIVE
345,"Beauty, Fitness & Recovery",Hair Salons,Online Format,ACTIVE
346,"Beauty, Fitness & Recovery",Barbershops,Individual Service,ACTIVE
347,"Beauty, Fitness & Recovery",Barbershops,Comprehensive Program,ACTIVE
348,"Beauty, Fitness & Recovery",Barbershops,Express Service,ACTIVE
349,"Beauty, Fitness & Recovery",Barbershops,Personal Support,ACTIVE
350,"Beauty, Fitness & Recovery",Barbershops,Group Classes,ACTIVE
351,"Beauty, Fitness & Recovery",Barbershops,Services for Men,ACTIVE
352,"Beauty, Fitness & Recovery",Barbershops,Services for Women,ACTIVE
353,"Beauty, Fitness & Recovery",Barbershops,Children's Programs,ACTIVE
354,"Beauty, Fitness & Recovery",Barbershops,On-Site Service,ACTIVE
355,"Beauty, Fitness & Recovery",Barbershops,Online Format,ACTIVE
356,"Beauty, Fitness & Recovery",Cosmetology & Aesthetic Medicine,Facial Care,ACTIVE
