business_category_id,locale,block,category,subcategory
"32","en","Legal, Finance & Security","Family Law","Pre-Litigation Support"
"33","en","Legal, Finance & Security","Family Law","Court or Administrative Representation"
"34","en","Legal, Finance & Security","Family Law","Audit & Review"
"35","en","Legal, Finance & Security","Family Law","Transaction Support"
"36","en","Legal, Finance & Security","Family Law","Ongoing Business Support"
"37","en","Legal, Finance & Security","Criminal Law","Consultations"
"38","en","Legal, Finance & Security","Criminal Law","Document Preparation"
"39","en","Legal, Finance & Security","Criminal Law","Legal or Financial Analysis"
"40","en","Legal, Finance & Security","Criminal Law","Registration & Filing"
"41","en","Legal, Finance & Security","Criminal Law","Representation"
"42","en","Legal, Finance & Security","Criminal Law","Pre-Litigation Support"
"43","en","Legal, Finance & Security","Criminal Law","Court or Administrative Representation"
"44","en","Legal, Finance & Security","Criminal Law","Audit & Review"
"45","en","Legal, Finance & Security","Criminal Law","Transaction Support"
"46","en","Legal, Finance & Security","Criminal Law","Ongoing Business Support"
"47","en","Legal, Finance & Security","Civil Litigation","Consultations"
"48","en","Legal, Finance & Security","Civil Litigation","Document Preparation"
"49","en","Legal, Finance & Security","Civil Litigation","Legal or Financial Analysis"
"50","en","Legal, Finance & Security","Civil Litigation","Registration & Filing"
"51","en","Legal, Finance & Security","Civil Litigation","Representation"
"52","en","Legal, Finance & Security","Civil Litigation","Pre-Litigation Support"
"53","en","Legal, Finance & Security","Civil Litigation","Court or Administrative Representation"
"54","en","Legal, Finance & Security","Civil Litigation","Audit & Review"
"55","en","Legal, Finance & Security","Civil Litigation","Transaction Support"
"56","en","Legal, Finance & Security","Civil Litigation","Ongoing Business Support"
"57","en","Legal, Finance & Security","Corporate & Commercial Law","Consultations"
"58","en","Legal, Finance & Security","Corporate & Commercial Law","Document Preparation"
"59","en","Legal, Finance & Security","Corporate & Commercial Law","Legal or Financial Analysis"
"60","en","Legal, Finance & Security","Corporate & Commercial Law","Registration & Filing"
"61","en","Legal, Finance & Security","Corporate & Commercial Law","Representation"
"62","en","Legal, Finance & Security","Corporate & Commercial Law","Pre-Litigation Support"
"63","en","Legal, Finance & Security","Corporate & Commercial Law","Court or Administrative Representation"
"64","en","Legal, Finance & Security","Corporate & Commercial Law","Audit & Review"
"65","en","Legal, Finance & Security","Corporate & Commercial Law","Transaction Support"
"66","en","Legal, Finance & Security","Corporate & Commercial Law","Ongoing Business Support"
"67","en","Legal, Finance & Security","Tax Law","Consultations"
"68","en","Legal, Finance & Security","Tax Law","Document Preparation"
"69","en","Legal, Finance & Security","Tax Law","Legal or Financial Analysis"
"70","en","Legal, Finance & Security","Tax Law","Registration & Filing"
"71","en","Legal, Finance & Security","Tax Law","Representation"
"72","en","Legal, Finance & Security","Tax Law","Pre-Litigation Support"
"73","en","Legal, Finance & Security","Tax Law","Court or Administrative Representation"
"74","en","Legal, Finance & Security","Tax Law","Audit & Review"
"75","en","Legal, Finance & Security","Tax Law","Transaction Support"
"76","en","Legal, Finance & Security","Tax Law","Ongoing Business Support"
"77","en","Legal, Finance & Security","Employment Law","Consultations"
"78","en","Legal, Finance & Security","Employment Law","Document Preparation"
"79","en","Legal, Finance & Security","Employment Law","Legal or Financial Analysis"
"80","en","Legal, Finance & Security","Employment Law","Registration & Filing"
"81","en","Legal, Finance & Security","Employment Law","Representation"
"82","en","Legal, Finance & Security","Employment Law","Pre-Litigation Support"
"83","en","Legal, Finance & Security","Employment Law","Court or Administrative Representation"
"84","en","Legal, Finance & Security","Employment Law","Audit & Review"
"85","en","Legal, Finance & Security","Employment Law","Transaction Support"
"86","en","Legal, Finance & Security","Employment Law","Ongoing Business Support"
"87","en","Legal, Finance & Security","Real Estate & Land Law","Consultations"
"88","en","Legal, Finance & Security","Real Estate & Land Law","Document Preparation"
"89","en","Legal, Finance & Security","Real Estate & Land Law","Legal or Financial Analysis"
"90","en","Legal, Finance & Security","Real Estate & Land Law","Registration & Filing"
"91","en","Legal, Finance & Security","Real Estate & Land Law","Representation"
"92","en","Legal, Finance & Security","Real Estate & Land Law","Pre-Litigation Support"
"93","en","Legal, Finance & Security","Real Estate & Land Law","Court or Administrative Representation"
"94","en","Legal, Finance & Security","Real Estate & Land Law","Audit & Review"
"95","en","Legal, Finance & Security","Real Estate & Land Law","Transaction Support"
"96","en","Legal, Finance & Security","Real Estate & Land Law","Ongoing Business Support"
"97","en","Legal, Finance & Security","International Law","Consultations"
"98","en","Legal, Finance & Security","International Law","Document Preparation"
"99","en","Legal, Finance & Security","International Law","Legal or Financial Analysis"
"100","en","Legal, Finance & Security","International Law","Registration & Filing"
"101","en","Legal, Finance & Security","International Law","Representation"
"102","en","Legal, Finance & Security","International Law","Pre-Litigation Support"
"103","en","Legal, Finance & Security","International Law","Court or Administrative Representation"
"104","en","Legal, Finance & Security","International Law","Audit & Review"
"105","en","Legal, Finance & Security","International Law","Transaction Support"
"106","en","Legal, Finance & Security","International Law","Ongoing Business Support"
"107","en","Legal, Finance & Security","Intellectual Property","Consultations"
"108","en","Legal, Finance & Security","Intellectual Property","Document Preparation"
"109","en","Legal, Finance & Security","Intellectual Property","Legal or Financial Analysis"
"110","en","Legal, Finance & Security","Intellectual Property","Registration & Filing"
"111","en","Legal, Finance & Security","Intellectual Property","Representation"
"112","en","Legal, Finance & Security","Intellectual Property","Pre-Litigation Support"
"113","en","Legal, Finance & Security","Intellectual Property","Court or Administrative Representation"
"114","en","Legal, Finance & Security","Intellectual Property","Audit & Review"
"115","en","Legal, Finance & Security","Intellectual Property","Transaction Support"
"116","en","Legal, Finance & Security","Intellectual Property","Ongoing Business Support"
"117","en","Legal, Finance & Security","Notary Services","Signature Certification"
"118","en","Legal, Finance & Security","Notary Services","Certified Copies"
"119","en","Legal, Finance & Security","Notary Services","Powers of Attorney"
"120","en","Legal, Finance & Security","Notary Services","Inheritance Matters"
"121","en","Legal, Finance & Security","Notary Services","Prenuptial Agreements"
"122","en","Legal, Finance & Security","Notary Services","Real Estate Transactions"
"123","en","Legal, Finance & Security","Notary Services","Apostille & Legalization"
"124","en","Legal, Finance & Security","Notary Services","Notarized Translations"
"125","en","Legal, Finance & Security","Notary Services","Consultations"
"126","en","Legal, Finance & Security","Notary Services","Document Preparation"
"127","en","Legal, Finance & Security","Notary Services","Legal or Financial Analysis"
"128","en","Legal, Finance & Security","Notary Services","Registration & Filing"
"129","en","Legal, Finance & Security","Notary Services","Representation"
"130","en","Legal, Finance & Security","Notary Services","Pre-Litigation Support"
"131","en","Legal, Finance & Security","Accounting Services","Bookkeeping"
"132","en","Legal, Finance & Security","Accounting Services","Payroll Services"
"133","en","Legal, Finance & Security","Accounting Services","Tax Reporting"
"134","en","Legal, Finance & Security","Accounting Services","Management Accounting"
"135","en","Legal, Finance & Security","Accounting Services","Accounting Reconstruction"
"136","en","Legal, Finance & Security","Accounting Services","Small Business Bookkeeping"
"137","en","Legal, Finance & Security","Accounting Services","QuickBooks / Xero Support"
"138","en","Legal, Finance & Security","Accounting Services","International Accounting"
"139","en","Legal, Finance & Security","Accounting Services","Consultations"
"140","en","Legal, Finance & Security","Accounting Services","Document Preparation"
"141","en","Legal, Finance & Security","Accounting Services","Legal or Financial Analysis"
"142","en","Legal, Finance & Security","Accounting Services","Registration & Filing"
"143","en","Legal, Finance & Security","Accounting Services","Representation"
"144","en","Legal, Finance & Security","Accounting Services","Pre-Litigation Support"
"145","en","Legal, Finance & Security","Audit & Financial Control","Consultations"
"146","en","Legal, Finance & Security","Audit & Financial Control","Document Preparation"
"147","en","Legal, Finance & Security","Audit & Financial Control","Legal or Financial Analysis"
"148","en","Legal, Finance & Security","Audit & Financial Control","Registration & Filing"
"149","en","Legal, Finance & Security","Audit & Financial Control","Representation"
"150","en","Legal, Finance & Security","Audit & Financial Control","Pre-Litigation Support"
"151","en","Legal, Finance & Security","Audit & Financial Control","Court or Administrative Representation"
"152","en","Legal, Finance & Security","Audit & Financial Control","Audit & Review"
"153","en","Legal, Finance & Security","Audit & Financial Control","Transaction Support"
"154","en","Legal, Finance & Security","Audit & Financial Control","Ongoing Business Support"
"155","en","Legal, Finance & Security","Insurance","Health Insurance"
"156","en","Legal, Finance & Security","Insurance","Auto Insurance"
"157","en","Legal, Finance & Security","Insurance","Property Insurance"
"158","en","Legal, Finance & Security","Insurance","Life Insurance"
"159","en","Legal, Finance & Security","Insurance","Travel Insurance"
"160","en","Legal, Finance & Security","Insurance","Business Insurance"
"161","en","Legal, Finance & Security","Insurance","Liability Insurance"
"162","en","Legal, Finance & Security","Insurance","Cargo Insurance"
"163","en","Legal, Finance & Security","Insurance","Consultations"
"164","en","Legal, Finance & Security","Insurance","Document Preparation"
"165","en","Healthcare, Health & Care","Multispecialty Clinics","Initial Consultation"
"166","en","Healthcare, Health & Care","Multispecialty Clinics","Preventive Checkup"
"167","en","Healthcare, Health & Care","Multispecialty Clinics","Diagnostics"
"168","en","Healthcare, Health & Care","Multispecialty Clinics","Outpatient Treatment"
"169","en","Healthcare, Health & Care","Multispecialty Clinics","Procedures & Treatments"
"170","en","Healthcare, Health & Care","Multispecialty Clinics","Second Medical Opinion"
"171","en","Healthcare, Health & Care","Multispecialty Clinics","Telemedicine"
"172","en","Healthcare, Health & Care","Multispecialty Clinics","Children's Programs"
"173","en","Healthcare, Health & Care","Multispecialty Clinics","Corporate Health Programs"
"174","en","Healthcare, Health & Care","Multispecialty Clinics","Rehabilitation"
"175","en","Healthcare, Health & Care","Multispecialty Clinics","Urgent Care"
"176","en","Healthcare, Health & Care","Family Medicine & Primary Care","Initial Consultation"
"177","en","Healthcare, Health & Care","Family Medicine & Primary Care","Preventive Checkup"
"178","en","Healthcare, Health & Care","Family Medicine & Primary Care","Diagnostics"
"179","en","Healthcare, Health & Care","Family Medicine & Primary Care","Outpatient Treatment"
"180","en","Healthcare, Health & Care","Family Medicine & Primary Care","Procedures & Treatments"
"181","en","Healthcare, Health & Care","Family Medicine & Primary Care","Second Medical Opinion"
"182","en","Healthcare, Health & Care","Family Medicine & Primary Care","Telemedicine"
"183","en","Healthcare, Health & Care","Family Medicine & Primary Care","Children's Programs"
"184","en","Healthcare, Health & Care","Family Medicine & Primary Care","Corporate Health Programs"
"185","en","Healthcare, Health & Care","Family Medicine & Primary Care","Rehabilitation"
"186","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Walk-in clinic"
"187","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Adult Urgent Care"
"188","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Pediatric Urgent Care"
"189","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Non-Hospital Injury Treatment"
"190","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Treatment of Infections & Colds"
"191","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Stitching & Wound Closure"
"192","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Urgent Care X-Ray"
"193","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Rapid Testing"
"194","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Vaccination"
"195","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Medical Certificates"
"196","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Occupational health"
"197","en","Healthcare, Health & Care","Urgent Care & Walk-In Services","Urgent Telemedicine Consultation"
"198","en","Healthcare, Health & Care","Dentistry","General Dentistry"
"199","en","Healthcare, Health & Care","Dentistry","Professional Dental Cleaning"
"200","en","Healthcare, Health & Care","Dentistry","Cavity Treatment"
"201","en","Healthcare, Health & Care","Dentistry","Endodontics"
"202","en","Healthcare, Health & Care","Dentistry","Orthodontics"
"203","en","Healthcare, Health & Care","Dentistry","Dental Implants"
"204","en","Healthcare, Health & Care","Dentistry","Prosthodontics"
"205","en","Healthcare, Health & Care","Dentistry","Oral Surgery"
"206","en","Healthcare, Health & Care","Dentistry","Periodontics"
"207","en","Healthcare, Health & Care","Dentistry","Pediatric Dentistry"
"208","en","Healthcare, Health & Care","Dentistry","Cosmetic Dentistry"
"209","en","Healthcare, Health & Care","Dentistry","Teeth Whitening"
"210","en","Healthcare, Health & Care","Dentistry","Emergency Dentistry"
"211","en","Healthcare, Health & Care","Dentistry","Dental X-Ray & 3D Imaging"
"212","en","Healthcare, Health & Care","Dentistry","Sedation & General Anesthesia Dentistry"
"213","en","Healthcare, Health & Care","Diagnostic Imaging","Initial Consultation"
"214","en","Healthcare, Health & Care","Diagnostic Imaging","Preventive Checkup"
"215","en","Healthcare, Health & Care","Diagnostic Imaging","Diagnostics"
"216","en","Healthcare, Health & Care","Diagnostic Imaging","Outpatient Treatment"
"217","en","Healthcare, Health & Care","Diagnostic Imaging","Procedures & Treatments"
"218","en","Healthcare, Health & Care","Diagnostic Imaging","Second Medical Opinion"
"219","en","Healthcare, Health & Care","Diagnostic Imaging","Telemedicine"
"220","en","Healthcare, Health & Care","Diagnostic Imaging","Children's Programs"
"221","en","Healthcare, Health & Care","Diagnostic Imaging","Corporate Health Programs"
"222","en","Healthcare, Health & Care","Diagnostic Imaging","Rehabilitation"
"223","en","Healthcare, Health & Care","Medical Laboratories","Initial Consultation"
"224","en","Healthcare, Health & Care","Medical Laboratories","Preventive Checkup"
"225","en","Healthcare, Health & Care","Medical Laboratories","Diagnostics"
"226","en","Healthcare, Health & Care","Medical Laboratories","Outpatient Treatment"
"227","en","Healthcare, Health & Care","Medical Laboratories","Procedures & Treatments"
"228","en","Healthcare, Health & Care","Medical Laboratories","Second Medical Opinion"
"229","en","Healthcare, Health & Care","Medical Laboratories","Telemedicine"
"230","en","Healthcare, Health & Care","Medical Laboratories","Children's Programs"
"231","en","Healthcare, Health & Care","Medical Laboratories","Corporate Health Programs"
"232","en","Healthcare, Health & Care","Medical Laboratories","Rehabilitation"
"233","en","Healthcare, Health & Care","Pediatrics","Initial Consultation"
"234","en","Healthcare, Health & Care","Pediatrics","Preventive Checkup"
"235","en","Healthcare, Health & Care","Pediatrics","Diagnostics"
"236","en","Healthcare, Health & Care","Pediatrics","Outpatient Treatment"
"237","en","Healthcare, Health & Care","Pediatrics","Procedures & Treatments"
"238","en","Healthcare, Health & Care","Pediatrics","Second Medical Opinion"
"239","en","Healthcare, Health & Care","Pediatrics","Telemedicine"
"240","en","Healthcare, Health & Care","Pediatrics","Children's Programs"
"241","en","Healthcare, Health & Care","Pediatrics","Corporate Health Programs"
"242","en","Healthcare, Health & Care","Pediatrics","Rehabilitation"
"243","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Initial Consultation"
"244","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Preventive Checkup"
"245","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Diagnostics"
"246","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Outpatient Treatment"
"247","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Procedures & Treatments"
"248","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Second Medical Opinion"
"249","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Telemedicine"
"250","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Children's Programs"
"251","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Corporate Health Programs"
"252","en","Healthcare, Health & Care","Gynecology & Reproductive Health","Rehabilitation"
"253","en","Healthcare, Health & Care","Urology & Men's Health","Initial Consultation"
"254","en","Healthcare, Health & Care","Urology & Men's Health","Preventive Checkup"
"255","en","Healthcare, Health & Care","Urology & Men's Health","Diagnostics"
"256","en","Healthcare, Health & Care","Urology & Men's Health","Outpatient Treatment"
"257","en","Healthcare, Health & Care","Urology & Men's Health","Procedures & Treatments"
"258","en","Healthcare, Health & Care","Urology & Men's Health","Second Medical Opinion"
"259","en","Healthcare, Health & Care","Urology & Men's Health","Telemedicine"
"260","en","Healthcare, Health & Care","Urology & Men's Health","Children's Programs"
"261","en","Healthcare, Health & Care","Urology & Men's Health","Corporate Health Programs"
"262","en","Healthcare, Health & Care","Urology & Men's Health","Rehabilitation"
"263","en","Healthcare, Health & Care","Cardiology","Initial Consultation"
"264","en","Healthcare, Health & Care","Cardiology","Preventive Checkup"
"265","en","Healthcare, Health & Care","Cardiology","Diagnostics"
"266","en","Healthcare, Health & Care","Cardiology","Outpatient Treatment"
"267","en","Healthcare, Health & Care","Cardiology","Procedures & Treatments"
"268","en","Healthcare, Health & Care","Cardiology","Second Medical Opinion"
"269","en","Healthcare, Health & Care","Cardiology","Telemedicine"
"270","en","Healthcare, Health & Care","Cardiology","Children's Programs"
"271","en","Healthcare, Health & Care","Cardiology","Corporate Health Programs"
"272","en","Healthcare, Health & Care","Cardiology","Rehabilitation"
"273","en","Healthcare, Health & Care","Neurology","Initial Consultation"
"274","en","Healthcare, Health & Care","Neurology","Preventive Checkup"
"275","en","Healthcare, Health & Care","Neurology","Diagnostics"
"276","en","Healthcare, Health & Care","Neurology","Outpatient Treatment"
"277","en","Healthcare, Health & Care","Neurology","Procedures & Treatments"
"278","en","Healthcare, Health & Care","Neurology","Second Medical Opinion"
"279","en","Healthcare, Health & Care","Neurology","Telemedicine"
"280","en","Healthcare, Health & Care","Neurology","Children's Programs"
"281","en","Healthcare, Health & Care","Neurology","Corporate Health Programs"
"282","en","Healthcare, Health & Care","Neurology","Rehabilitation"
"283","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Eye Exam"
"284","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Eyeglass Fitting"
"285","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Contact Lens Fitting"
"286","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Pediatric Ophthalmology"
"287","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Eye Disease Treatment"
"288","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Eye Surgery"
"289","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Laser Vision Correction"
"290","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Optical Store & Lens Sales"
"291","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Initial Consultation"
"292","en","Healthcare, Health & Care","Ophthalmology & Optical Services","Preventive Checkup"
"293","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Initial Consultation"
"294","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Preventive Checkup"
"295","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Diagnostics"
"296","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Outpatient Treatment"
"297","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Procedures & Treatments"
"298","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Second Medical Opinion"
"299","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Telemedicine"
"300","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Children's Programs"
"301","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Corporate Health Programs"
"302","en","Healthcare, Health & Care","Orthopedics & Trauma Care","Rehabilitation"
"303","en","Healthcare, Health & Care","Dermatology","Initial Consultation"
"304","en","Healthcare, Health & Care","Dermatology","Preventive Checkup"
"305","en","Healthcare, Health & Care","Dermatology","Diagnostics"
"306","en","Healthcare, Health & Care","Dermatology","Outpatient Treatment"
"307","en","Healthcare, Health & Care","Dermatology","Procedures & Treatments"
"308","en","Healthcare, Health & Care","Dermatology","Second Medical Opinion"
"309","en","Healthcare, Health & Care","Dermatology","Telemedicine"
"310","en","Healthcare, Health & Care","Dermatology","Children's Programs"
"311","en","Healthcare, Health & Care","Dermatology","Corporate Health Programs"
"312","en","Healthcare, Health & Care","Dermatology","Rehabilitation"
"313","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Individual Psychotherapy"
"314","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Family Therapy"
"315","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Couples Therapy"
"316","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Child Psychologist"
"317","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Adolescent Psychotherapy"
"318","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Psychiatric Consultation"
"319","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Anxiety Treatment"
"320","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Depression Treatment"
"321","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Trauma & PTSD"
"322","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Addiction Treatment"
"323","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Crisis Mental Health Support"
"324","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Online Psychotherapy"
"325","en","Healthcare, Health & Care","Mental Health & Psychotherapy","Corporate Mental Health Programs"
"326","en","Beauty, Fitness & Recovery","Beauty Salons","Individual Service"
"327","en","Beauty, Fitness & Recovery","Beauty Salons","Comprehensive Program"
"328","en","Beauty, Fitness & Recovery","Beauty Salons","Express Service"
"329","en","Beauty, Fitness & Recovery","Beauty Salons","Personal Support"
"330","en","Beauty, Fitness & Recovery","Beauty Salons","Group Classes"
"331","en","Beauty, Fitness & Recovery","Beauty Salons","Services for Men"
"332","en","Beauty, Fitness & Recovery","Beauty Salons","Services for Women"
"333","en","Beauty, Fitness & Recovery","Beauty Salons","Children's Programs"
"334","en","Beauty, Fitness & Recovery","Beauty Salons","On-Site Service"
"335","en","Beauty, Fitness & Recovery","Beauty Salons","Online Format"
"336","en","Beauty, Fitness & Recovery","Hair Salons","Individual Service"
"337","en","Beauty, Fitness & Recovery","Hair Salons","Comprehensive Program"
"338","en","Beauty, Fitness & Recovery","Hair Salons","Express Service"
"339","en","Beauty, Fitness & Recovery","Hair Salons","Personal Support"
"340","en","Beauty, Fitness & Recovery","Hair Salons","Group Classes"
"341","en","Beauty, Fitness & Recovery","Hair Salons","Services for Men"
"342","en","Beauty, Fitness & Recovery","Hair Salons","Services for Women"
"343","en","Beauty, Fitness & Recovery","Hair Salons","Children's Programs"
"344","en","Beauty, Fitness & Recovery","Hair Salons","On-Site Service"
"345","en","Beauty, Fitness & Recovery","Hair Salons","Online Format"
"346","en","Beauty, Fitness & Recovery","Barbershops","Individual Service"
"347","en","Beauty, Fitness & Recovery","Barbershops","Comprehensive Program"
"348","en","Beauty, Fitness & Recovery","Barbershops","Express Service"
"349","en","Beauty, Fitness & Recovery","Barbershops","Personal Support"
"350","en","Beauty, Fitness & Recovery","Barbershops","Group Classes"
"351","en","Beauty, Fitness & Recovery","Barbershops","Services for Men"
"352","en","Beauty, Fitness & Recovery","Barbershops","Services for Women"
"353","en","Beauty, Fitness & Recovery","Barbershops","Children's Programs"
"354","en","Beauty, Fitness & Recovery","Barbershops","On-Site Service"
"355","en","Beauty, Fitness & Recovery","Barbershops","Online Format"
"356","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Facial Care"
"357","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Facial Cleansing"
"358","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Chemical Peels"
"359","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Injectable Aesthetics"
"360","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Device-Based Cosmetology"
"361","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Laser Treatments"
"362","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Dermal Fillers"
"363","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Skin Rejuvenation"
"364","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Acne Treatment"
"365","en","Beauty, Fitness & Recovery","Cosmetology & Aesthetic Medicine","Individual Service"
"366","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Individual Service"
"367","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Comprehensive Program"
"368","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Express Service"
"369","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Personal Support"
"370","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Group Classes"
"371","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Services for Men"
"372","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Services for Women"
"373","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Children's Programs"
"374","en","Beauty, Fitness & Recovery","Manicure & Pedicure","On-Site Service"
"375","en","Beauty, Fitness & Recovery","Manicure & Pedicure","Online Format"
"376","en","Beauty, Fitness & Recovery","Spa & Wellness","Individual Service"
"377","en","Beauty, Fitness & Recovery","Spa & Wellness","Comprehensive Program"
"378","en","Beauty, Fitness & Recovery","Spa & Wellness","Express Service"
"379","en","Beauty, Fitness & Recovery","Spa & Wellness","Personal Support"
"380","en","Beauty, Fitness & Recovery","Spa & Wellness","Group Classes"
"381","en","Beauty, Fitness & Recovery","Spa & Wellness","Services for Men"
"382","en","Beauty, Fitness & Recovery","Spa & Wellness","Services for Women"
"383","en","Beauty, Fitness & Recovery","Spa & Wellness","Children's Programs"
"384","en","Beauty, Fitness & Recovery","Spa & Wellness","On-Site Service"
"385","en","Beauty, Fitness & Recovery","Spa & Wellness","Online Format"
"386","en","Beauty, Fitness & Recovery","Massage","Individual Service"
"387","en","Beauty, Fitness & Recovery","Massage","Comprehensive Program"
"388","en","Beauty, Fitness & Recovery","Massage","Express Service"
"389","en","Beauty, Fitness & Recovery","Massage","Personal Support"
"390","en","Beauty, Fitness & Recovery","Massage","Group Classes"
"391","en","Beauty, Fitness & Recovery","Massage","Services for Men"
"392","en","Beauty, Fitness & Recovery","Massage","Services for Women"
"393","en","Beauty, Fitness & Recovery","Massage","Children's Programs"
"394","en","Beauty, Fitness & Recovery","Massage","On-Site Service"
